
== ALL — Claude row-open h3 with no gold heading of that text: 764
  gold inside WIDGET (h5) → [('BLL254', 'BLL254_1_0.html', 'A trick'), ('MXFU301', 'MXFU301_6_0.html', 'What coloured balloon?'), ('XGF9006', 'XGF9006_2_0.html', 'Questions:'), ('XGF9006', 'XGF9006_2_0.html', 'Questions:')]
  gold td → [('CEDK501', 'CEDK501_10_0.html', 'Work together more effectively')]
  gold b → [('ENGI301', 'ENGI301_4_0.html', 'Constructing Paragraphs'), ('HIS1002', 'HIS1002_11_0.html', 'Source C')]
  gold inside WIDGET (h3) → [('ENGJ403', 'ENGJ403_5_0.html', 'How to write a script for theatre'), ('ENGJ403', 'ENGJ403_5_0.html', 'From script to stage'), ('ENGJ403', 'ENGJ403_5_0.html', 'The script'), ('ENGJ403', 'ENGJ403_5_0.html', 'How to write a screenplay for film'), ('ENGJ403', 'ENGJ403_5_0.html', 'The screenplay')]
  gold reworded (li) → [('HES1003', 'HES1003_8_0.html', 'SHORT TERM AND LONG TERM CONSEQUENCES consequences')]
  NOWHERE in gold — WT h4 → [('MXDB302', 'MXDB302_3_0.html', 'Two- and Three-Dimensional Shapes'), ('MXDB302', 'MXDB302_5_0.html', 'Volume v Capacity'), ('MXEO301', 'MXEO301_1_0.html', 'Factors and multiples'), ('MXEO301', 'MXEO301_3_0.html', 'Greater than or less than'), ('MXEO301', 'MXEO301_7_0.html', 'Pulling everything together')]
  gold header/menu p → [('MXDI101', 'MXDI101_0_0.html', 'The world is full of patterns and structures that we use mathematics a'), ('MXDI101', 'MXDI101_0_0.html', 'I can:'), ('MXFL103', 'MXFL103_0_0.html', 'I can:')]
  gold header/menu h4 → [('MXDI101', 'MXDI101_0_0.html', 'Know:'), ('MXEO201', 'MXEO201_0_0.html', 'Know:'), ('MXEO201', 'MXEO201_0_0.html', 'Do:')]
  gold inside WIDGET (span) → [('MXEO401', 'MXEO401_3_0.html', 'L')]
  gold inside WIDGET (div) → [('MXEX401', 'MXEX401_2_0.html', 'Tridoku.')]
  gold merged into h4 (widget) → [('MXFL104', 'MXFL104_3_0.html', 'How long do we sleep?'), ('TEDC401', 'TEDC401_3_0.html', 'Create a wireframe (Ideate 🡪 Prototype)'), ('TEDC401', 'TEDC401_3_0.html', 'Create attribution notes')]
  gold merged into td (widget) → [('MXFL203', 'MXFL203_10_0.html', 'Sheep Shearing')]
  gold reworded (h5) → [('MXFU302', 'MXFU302_6_0.html', 'Variables can be used to hold the place of a number that we don’t yet ')]
  gold li → [('PHE1003', 'PHE1003_7_0.html', 'Alofa/Aroha/Ofa/Aloha')]
  gold merged into p (widget) → [('XGF9001', 'XGF9001_4_0.html', 'The Power of the Flip!'), ('XGF9004', 'XGF9004_2_0.html', 'Instructions')]
  gold reworded (h4) → [('XGF9006', 'XGF9006_2_0.html', 'Mostly b – you’re a tinkerer!'), ('XGF9006', 'XGF9006_3_0.html', 'Sticky note question or wonderwall')]
