PHE1003	10.0	multiChoiceQuiz	E		«[self-marked quiz - item 30]»	after«Activity 6 - Self Check Quiz»	cell0«»	head«»	owner«»	prev«e»
PHE1007	6.0	dropDown	h p p I p I p I		«[Individual activity – drop down quiz ] Dev – each»	after«»	cell0«»	head«Identify the energy system»	owner«»	prev«e»
PHE1008	5.0	clickDrop	h e p h e p h e		«[Click drop]»	after«»	cell0«»	head«Sport»	owner«»	prev«p»
SCCH301	6.0	flipCard	h X		«[Three flip cards next to each other, with H5 size»	after«»	cell0«»	head«Running hot water over a stuck jar lid often loosens it. Why»	owner«»	prev«p»
SCES201	1.0	radioQuiz	h p I ?		«[activity 1a] [radio quiz] [auto check]»	after«»	cell0«»	head«All about stars»	owner«»	prev«p»
SCES201	1.0	dragAndDrop	h e p p p p p p		«[Activity 1c] [download then drag and drop activit»	after«»	cell0«»	head«Maramataka wheel.»	owner«»	prev«X»
SCES201	2.0	dropDown	h p X		«[Activity 2b] [dropdown quiz paragraph]»	after«»	cell0«»	head«Puanga and Orion»	owner«»	prev«e»
SCES201	3.0	dropDown	h p I ?		«[activity 3b] [dropdown quiz] [self check]»	after«»	cell0«»	head«The Matariki whetū»	owner«»	prev«e»
SSCI205	9.0	dropDown	h p e e e p		«[Dropbox]»	after«»	cell0«»	head«Share your learning»	owner«»	prev«p!»
SSFUN02	0.0	interactive	X		«[Interactive] Please include this visual in the ri»	after«https://www.growingup.co.nz/no»	cell0«»	head«»	owner«»	prev«?»
SSFUN03	0.0	flipCard	I X		«[insert flip cards] Developer please place name of»	after«**The Pacific Ocean**The large»	cell0«»	head«»	owner«»	prev«e»
SSOG103	6.0	dropDown	h p e e e X		«[Dropbox]»	after«»	cell0«»	head«Share your learning»	owner«»	prev«p!»
TEDC401	4.0	multiChoiceQuiz	h X		«[self check quiz]»	after«»	cell0«»	head«**Design checkpoint**»	owner«»	prev«X!»
