Claude row-opening h4 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h4: 1174
   gold h3 inline after p                 1 (0.02)  pages    1 / modules   1

== subject+ptype=None/overview — Claude row-open h4: 61
   gold h4 inline after h3               28 (0.46)  pages    5 / modules   5
   gold h4 inline after list             16 (0.26)  pages    1 / modules   1
   NOT-IN-GOLD                           15 (0.25)  pages    1 / modules   1
   gold h3 row-open                       2 (0.03)  pages    1 / modules   1

== series=CHFUN — Claude row-open h4: 61
   gold h4 inline after h3               28 (0.46)  pages    5 / modules   5
   gold h4 inline after list             16 (0.26)  pages    1 / modules   1
   NOT-IN-GOLD                           15 (0.25)  pages    1 / modules   1
   gold h3 row-open                       2 (0.03)  pages    1 / modules   1

== subject+ptype=1-10 Arts/overview — Claude row-open h4: 58
   NOT-IN-GOLD                           20 (0.34)  pages    3 / modules   3
   gold h3 row-open                      13 (0.22)  pages    3 / modules   3
   gold h4 inline after h3                6 (0.10)  pages    2 / modules   2
   gold h3 nested:activity                5 (0.09)  pages    2 / modules   2
   gold h2 row-open                       3 (0.05)  pages    2 / modules   2
   gold h3 inline after list              3 (0.05)  pages    1 / modules   1
   gold h3 inline after p                 2 (0.03)  pages    1 / modules   1
   gold h3 inline after h2                2 (0.03)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.02)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.02)  pages    1 / modules   1
   gold h4 inline after table             1 (0.02)  pages    1 / modules   1
   gold h4 row-open                       1 (0.02)  pages    1 / modules   1

== series=ARFUN — Claude row-open h4: 58
   NOT-IN-GOLD                           20 (0.34)  pages    3 / modules   3
   gold h3 row-open                      13 (0.22)  pages    3 / modules   3
   gold h4 inline after h3                6 (0.10)  pages    2 / modules   2
   gold h3 nested:activity                5 (0.09)  pages    2 / modules   2
   gold h2 row-open                       3 (0.05)  pages    2 / modules   2
   gold h3 inline after list              3 (0.05)  pages    1 / modules   1
   gold h3 inline after p                 2 (0.03)  pages    1 / modules   1
   gold h3 inline after h2                2 (0.03)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.02)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.02)  pages    1 / modules   1
   gold h4 inline after table             1 (0.02)  pages    1 / modules   1
   gold h4 row-open                       1 (0.02)  pages    1 / modules   1

== series=CEDO5 — Claude row-open h4: 58
   NOT-IN-GOLD                           21 (0.36)  pages    5 / modules   1
   gold h4 row-open                      21 (0.36)  pages    5 / modules   1
   gold h3 row-open                       9 (0.16)  pages    5 / modules   2
   gold h3 nested:activity                3 (0.05)  pages    3 / modules   2
   gold h4 inline after p                 2 (0.03)  pages    2 / modules   1
   gold h4 inline after object            1 (0.02)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.02)  pages    1 / modules   1

== subject+ptype=ConnectED/overview — Claude row-open h4: 52
   gold h4 nested:activity               22 (0.42)  pages    5 / modules   5
   NOT-IN-GOLD                           10 (0.19)  pages    1 / modules   1
   gold h2 row-open                       4 (0.08)  pages    2 / modules   2
   gold h3 row-open                       4 (0.08)  pages    3 / modules   3
   gold h3 nested:activity                3 (0.06)  pages    1 / modules   1
   gold h4 deep                           2 (0.04)  pages    1 / modules   1
   gold h4 nested:alert                   2 (0.04)  pages    1 / modules   1
   gold h3 inline after h2                1 (0.02)  pages    1 / modules   1
   gold h3 col-open                       1 (0.02)  pages    1 / modules   1
   gold h3 inline after div               1 (0.02)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.02)  pages    1 / modules   1
   gold h4 inline after alert             1 (0.02)  pages    1 / modules   1

== series=AGH10 — Claude row-open h4: 43
   NOT-IN-GOLD                           24 (0.56)  pages   10 / modules   6
   gold h4 inline after p                 6 (0.14)  pages    5 / modules   5
   gold h4 row-open                       4 (0.09)  pages    3 / modules   3
   gold h3 row-open                       2 (0.05)  pages    2 / modules   2
   gold h3 inline after p                 1 (0.02)  pages    1 / modules   1
   gold h3 inline after list              1 (0.02)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.02)  pages    1 / modules   1
   gold h4 inline after h2                1 (0.02)  pages    1 / modules   1
   gold h5 inline after row               1 (0.02)  pages    1 / modules   1
   gold h4 inline after row               1 (0.02)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.02)  pages    1 / modules   1

== subject+ptype=1-10 English/overview — Claude row-open h4: 42
   NOT-IN-GOLD                           26 (0.62)  pages    8 / modules   8
   gold h3 row-open                       7 (0.17)  pages    4 / modules   4
   gold h3 nested:activity                3 (0.07)  pages    3 / modules   3
